OBJECTID,CSA_Label,Total_Unsheltered_Pop,Total_Sheltered_Pop,Total_Pop,Data_Source,Square_Miles,Density_Unsheltered,Density_Sheltered,Density_Total,Shape__Area,Shape__Length
250,Unincorporated - Hacienda Heights,51,208,259,Los Angeles Homeless Services Authority (LAHSA),12.5725860589939,4.05644469329496,16.5439312981441,20.6003759914391,47498037.4257813,36355.9416309998
251,Unincorporated - Hi Vista,202,0,202,Los Angeles Homeless Services Authority (LAHSA),170.068737067608,1.18775504236089,0,1.18775504236089,653151026.953125,119324.326881137
252,Unincorporated - Kagel/Lopez Canyons,4,7,11,Los Angeles Homeless Services Authority (LAHSA),1.72998651675304,2.31215674877483,4.04627431035595,6.35843105913078,6580440.2109375,14632.9178320667
253,Unincorporated - La Crescenta-Montrose,0,0,0,Los Angeles Homeless Services Authority (LAHSA),3.6624215639118,0,0,0,13912199.0859375,21059.1574474704
254,Unincorporated - La Rambla,2,0,2,Los Angeles Homeless Services Authority (LAHSA),0.209045210585534,9.56730840375637,0,9.56730840375637,784876.27734375,5167.81408335543
255,Unincorporated - Ladera Heights,48,0,48,Los Angeles Homeless Services Authority (LAHSA),3.08760774784591,15.5460161782168,0,15.5460161782168,11662238.484375,17862.9613980447
256,Unincorporated - Lake Los Angeles,272,0,272,Los Angeles Homeless Services Authority (LAHSA),24.1031966118743,11.2848102423892,0,11.2848102423892,92372765.9882813,39795.322110216
257,Unincorporated - Lake Manor,0,0,0,Los Angeles Homeless Services Authority (LAHSA),0.549687148358662,0,0,0,2088426.15234375,10684.9838684694
258,Unincorporated - Lennox,179,0,179,Los Angeles Homeless Services Authority (LAHSA),1.21278119661077,147.594636609004,0,147.594636609004,4574893.36328125,9956.65044284578
259,Unincorporated - Leona Valley,0,0,0,Los Angeles Homeless Services Authority (LAHSA),23.9863229809832,0,0,0,91987234.1367188,51812.2035331072
260,Unincorporated - Littlerock/Pearblossom,43,0,43,Los Angeles Homeless Services Authority (LAHSA),28.0696320341937,1.53190465580805,0,1.53190465580805,107401236.351563,50383.6897127107
261,Unincorporated - Llano,382,0,382,Los Angeles Homeless Services Authority (LAHSA),144.403975404998,2.64535653487818,0,2.64535653487818,551875629.828125,130967.821357044
262,Unincorporated - Marina del Rey,14,0,14,Los Angeles Homeless Services Authority (LAHSA),1.4532249672464,9.63374585183978,0,9.63374585183978,5487022.59765625,9556.63484805589
